fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19037_001E,B19037_002E,B19037_003E,B19037_004E,B19037_005E,B19037_006E,B19037_007E,B19037_008E,B19037_009E,B19037_010E,B19037_011E,B19037_012E,B19037_013E,B19037_014E,B19037_015E,B19037_016E,B19037_017E,B19037_018E,B19037_019E,B19037_020E,B19037_021E,B19037_022E,B19037_023E,B19037_024E,B19037_025E,B19037_026E,B19037_027E,B19037_028E,B19037_029E,B19037_030E,B19037_031E,B19037_032E,B19037_033E,B19037_034E,B19037_035E,B19037_036E,B19037_037E,B19037_038E,B19037_039E,B19037_040E,B19037_041E,B19037_042E,B19037_043E,B19037_044E,B19037_045E,B19037_046E,B19037_047E,B19037_048E,B19037_049E,B19037_050E,B19037_051E,B19037_052E,B19037_053E,B19037_054E,B19037_055E,B19037_056E,B19037_057E,B19037_058E,B19037_059E,B19037_060E,B19037_061E,B19037_062E,B19037_063E,B19037_064E,B19037_065E,B19037_066E,B19037_067E,B19037_068E,B19037_069E
24001000100,101,97,81,105,76,126,67,51,80,202,136,159,113,18,8,0,1420,33,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,344,38,19,0,0,11,52,11,0,0,63,30,65,42,13,0,0,490,14,37,19,21,39,20,8,51,35,68,34,66,65,5,8,0,553,29,41,49,84,26,54,48,0,45,71,72,28,6,0,0,0
24001000200,94,80,127,36,60,58,37,73,44,122,95,138,119,32,40,17,1172,25,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,288,43,37,8,0,0,10,9,10,32,21,0,38,40,14,9,17,522,16,14,50,9,29,21,8,34,12,75,75,78,61,18,22,0,337,23,29,69,27,31,27,20,29,0,26,20,9,18,0,9,0
24001000300,86,167,37,103,51,213,72,38,12,76,109,118,39,22,10,7,1160,18,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,369,59,34,0,37,16,106,24,0,0,9,42,28,14,0,0,0,351,27,27,18,22,6,15,20,21,12,31,39,49,25,22,10,7,422,0,106,19,35,29,92,28,8,0,36,28,41,0,0,0,0
24001000400,87,77,95,53,108,89,89,55,87,90,80,95,157,64,14,18,1258,24,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,378,24,11,29,28,48,0,22,14,48,32,13,0,71,38,0,0,442,22,21,18,9,22,26,39,19,13,40,29,44,86,26,10,18,414,29,45,36,16,38,63,28,22,26,18,38,51,0,0,4,0
24001000500,298,157,75,41,63,48,42,6,43,93,40,35,37,36,8,0,1022,139,125,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,40,85,9,9,0,12,12,0,0,36,7,0,14,12,0,0,392,83,24,46,17,41,17,0,6,29,28,33,21,23,24,0,0,255,50,34,20,15,22,19,30,0,14,29,0,14,0,0,8,0
24001000600,149,77,84,144,127,48,41,21,80,135,123,152,67,11,0,21,1280,83,0,14,0,46,0,0,0,0,0,0,12,11,0,0,0,0,338,26,0,0,21,55,17,17,0,23,39,36,48,56,0,0,0,501,82,19,37,18,7,9,24,21,44,74,60,63,11,11,0,21,358,41,44,47,59,65,22,0,0,13,22,15,30,0,0,0,0
24001000700,187,167,132,181,175,90,57,127,69,120,77,126,58,0,0,0,1566,53,10,12,0,31,0,0,0,0,0,0,0,0,0,0,0,0,408,16,73,15,13,44,14,0,22,24,68,22,82,15,0,0,0,574,91,22,51,78,62,33,12,64,31,40,30,33,27,0,0,0,531,70,60,66,59,69,43,45,41,14,12,25,11,16,0,0,0
24001000800,138,164,53,41,91,66,71,12,40,64,69,19,33,32,6,14,913,61,34,18,0,0,0,0,0,0,0,0,0,0,0,9,0,0,292,8,72,4,5,39,12,35,0,22,64,24,3,4,0,0,0,302,43,50,29,15,16,18,36,0,6,0,45,16,14,0,6,8,258,53,24,20,21,36,36,0,12,12,0,0,0,15,23,0,6
24001001000,160,139,205,108,125,64,84,26,33,23,60,83,20,0,0,15,1145,50,0,10,7,0,0,0,0,0,6,0,0,27,0,0,0,0,272,41,49,50,0,49,27,0,0,4,0,21,11,20,0,0,0,471,61,10,92,82,46,5,66,6,14,13,33,28,0,0,0,15,352,58,70,56,26,30,32,18,20,9,10,6,17,0,0,0,0
24001001100,118,108,94,61,28,20,22,35,23,42,75,77,45,17,14,21,800,18,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,237,14,0,41,4,0,8,6,29,5,23,20,45,30,0,0,12,305,72,43,10,31,0,12,16,0,18,19,28,11,11,17,8,9,240,20,65,43,26,22,0,0,6,0,0,27,21,4,0,6,0
24001001200,83,32,35,45,67,86,45,38,34,116,104,159,116,116,86,45,1207,58,0,0,12,0,11,20,0,0,0,15,0,0,0,0,0,0,297,23,0,0,32,8,36,11,23,19,19,17,18,37,33,0,21,542,17,10,6,0,15,16,20,8,0,51,74,110,67,49,75,24,310,43,22,17,13,33,14,14,7,15,31,13,31,12,34,11,0
24001001300,49,59,141,90,54,10,11,61,34,71,105,102,81,11,9,31,919,50,12,7,0,0,0,0,0,8,0,13,6,4,0,0,0,0,314,13,7,57,33,9,0,0,17,21,8,32,38,43,0,5,31,308,12,23,39,14,15,0,0,13,8,46,40,45,38,11,4,0,247,12,22,45,43,30,10,11,23,5,4,27,15,0,0,0,0
24001001401,52,76,57,103,125,83,86,82,46,120,107,316,147,108,89,44,1641,22,0,0,8,0,0,0,0,7,0,0,0,7,0,0,0,0,324,0,0,6,35,0,30,6,27,0,29,11,147,33,0,0,0,724,37,21,0,35,44,5,0,17,30,33,69,136,101,76,84,36,571,15,55,43,33,81,48,80,31,16,58,27,26,13,32,5,8
24001001402,35,55,68,31,33,15,29,37,47,49,132,37,24,26,17,0,635,20,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,188,5,20,0,0,0,0,0,29,4,11,73,24,9,13,0,0,251,25,11,34,21,7,0,2,0,32,18,43,13,15,13,17,0,176,5,24,20,10,26,15,27,8,11,20,10,0,0,0,0,0
24001001502,36,75,38,102,54,40,38,52,4,74,99,56,54,6,3,27,758,42,0,14,0,0,0,0,0,0,0,20,8,0,0,0,0,0,159,32,0,8,13,0,8,0,0,0,0,44,19,29,6,0,0,310,0,19,6,46,25,28,4,24,4,38,24,37,25,0,3,27,247,4,42,24,43,29,4,34,28,0,16,23,0,0,0,0,0
24001001503,41,21,62,94,38,33,23,34,78,125,33,91,84,29,23,0,809,45,0,0,0,30,0,0,6,0,0,9,0,0,0,0,0,0,255,0,0,0,10,0,24,0,0,40,86,0,28,54,8,5,0,257,21,0,45,18,15,4,4,4,29,13,14,51,24,15,0,0,252,20,21,17,36,23,5,13,30,9,17,19,12,6,6,18,0
24001001600,27,28,30,42,113,106,35,7,38,89,101,83,67,4,25,24,819,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,260,0,0,0,9,81,92,15,0,0,0,35,7,21,0,0,0,322,22,0,19,15,3,9,11,0,12,72,41,39,26,4,25,24,220,5,28,11,18,29,5,9,7,9,17,25,37,20,0,0,0
24001001700,358,274,185,20,33,65,130,25,74,150,288,175,45,107,83,0,2012,207,56,109,32,0,0,0,0,0,0,0,10,0,0,0,0,0,461,152,20,27,0,0,57,43,0,18,66,78,0,0,0,0,0,752,59,52,26,0,0,8,44,25,6,23,149,148,34,95,83,0,592,91,93,100,20,33,0,43,0,50,61,51,27,11,12,0,0
24001001800,311,167,147,204,67,51,124,29,124,151,128,147,62,0,38,30,1780,529,178,136,29,95,0,9,10,0,45,12,15,0,0,0,0,0,475,87,21,52,36,40,0,30,0,54,27,45,74,0,0,9,0,479,46,10,9,33,18,32,57,6,25,59,39,63,23,0,29,30,297,0,0,57,40,9,10,27,23,0,53,29,10,39,0,0,0
24001001900,26,40,16,55,90,82,70,59,46,197,178,84,35,23,2,11,1014,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,253,7,1,6,34,13,13,44,22,0,64,14,31,1,1,2,0,426,9,0,0,0,21,17,16,21,16,90,123,46,34,22,0,11,327,10,39,10,21,48,52,10,16,30,43,41,7,0,0,0,0
24001002000,219,50,110,240,127,208,90,152,50,118,187,220,227,104,76,73,2251,97,19,0,0,57,0,0,0,0,0,21,0,0,0,0,0,0,472,53,0,36,0,55,19,36,18,0,15,50,76,82,32,0,0,1011,96,23,33,62,23,87,0,77,32,33,117,132,108,72,76,40,671,51,27,41,121,49,102,54,57,18,49,20,12,37,0,0,33
24001002100,106,52,100,109,80,101,102,107,96,130,132,110,72,37,16,2,1352,61,7,8,0,10,0,8,11,7,0,0,0,10,0,0,0,0,372,33,0,26,6,34,8,18,23,61,24,45,36,30,14,14,0,501,28,13,24,32,9,54,36,39,9,82,81,47,36,9,0,2,418,38,31,50,61,37,31,37,38,26,24,6,17,6,14,2,0
24001002200,170,121,63,61,90,59,126,59,38,90,190,280,83,27,24,19,1500,36,9,10,0,4,0,0,0,5,0,0,0,8,0,0,0,0,401,86,7,1,0,10,0,5,19,14,13,47,147,42,10,0,0,547,46,22,27,24,22,19,42,20,18,37,75,97,41,17,24,16,516,29,82,35,33,58,40,79,15,6,40,68,28,0,0,0,3
24003701101,32,47,39,39,9,27,22,47,28,98,113,87,196,132,319,306,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,12,0,0,0,0,0,0,18,8,22,15,9,100,31,88,91,765,9,23,0,18,0,0,10,0,20,30,62,47,72,84,212,178,382,11,24,39,21,9,27,12,29,0,46,36,31,24,17,19,37
24003701102,54,26,117,36,15,149,90,98,68,229,293,471,392,222,437,246,2943,61,13,0,16,0,0,0,0,0,0,0,0,0,0,0,32,0,932,0,0,0,0,0,52,34,58,0,74,80,171,136,145,139,43,1418,41,10,88,10,0,62,19,21,24,124,145,228,206,55,216,169,532,0,16,13,26,15,35,37,19,44,31,68,72,50,22,50,34
24003701200,30,53,60,25,67,53,47,75,181,223,315,473,299,462,295,499,3157,49,0,0,0,0,38,0,0,0,0,0,0,11,0,0,0,0,990,14,17,0,8,0,0,0,0,32,19,179,193,117,192,53,166,1593,16,21,17,17,15,38,32,60,117,168,102,189,146,152,188,315,525,0,15,43,0,14,15,15,15,32,36,34,80,36,118,54,18
24003701300,18,53,32,57,60,116,143,73,75,26,84,467,372,306,231,475,2588,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,448,0,0,13,0,12,9,13,35,52,14,12,59,83,28,36,82,1442,0,13,0,21,13,41,40,17,0,12,38,285,182,261,139,380,665,18,40,19,36,35,66,57,21,23,0,34,123,107,17,56,13
24003701400,22,31,0,0,87,6,55,29,0,0,120,163,153,67,150,346,1229,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,218,0,0,0,0,15,0,0,0,0,0,0,0,83,8,67,45,671,0,0,0,0,21,6,33,0,0,0,57,110,70,44,68,262,328,22,31,0,0,51,0,22,17,0,0,63,53,0,15,15,39
24003702100,33,17,16,30,33,24,19,88,65,110,214,310,503,266,273,470,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,16,0,8,0,10,11,70,48,88,117,116,103,133,1275,33,17,0,14,0,0,0,44,35,21,106,96,329,150,120,310,476,0,0,16,0,33,16,19,34,19,19,60,126,57,0,50,27
24003702204,30,9,20,20,45,0,25,46,71,14,111,121,245,186,266,376,1585,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,16,0,0,0,46,0,32,51,59,93,105,64,784,30,0,0,11,0,0,0,37,14,14,55,46,86,66,131,294,325,0,9,10,9,29,0,25,9,11,0,24,24,100,27,30,18
24003702205,72,0,48,14,42,13,54,62,86,173,397,304,362,264,229,135,2255,115,15,0,0,0,0,0,0,15,0,15,15,0,0,55,0,0,719,0,0,0,0,29,0,23,0,67,33,141,178,110,62,44,32,917,36,0,24,14,0,0,16,20,0,58,176,72,182,93,146,80,504,21,0,24,0,13,13,15,27,19,67,65,54,70,54,39,23
24003702206,14,0,0,16,17,61,23,28,47,60,381,465,381,355,397,117,2362,32,14,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1048,0,0,0,0,17,0,23,0,18,0,104,258,187,168,238,35,1084,0,0,0,0,0,61,0,14,29,46,223,186,156,160,143,66,198,0,0,0,16,0,0,0,14,0,14,54,21,38,9,16,16
24003702208,22,0,0,0,14,41,16,46,127,268,244,333,341,362,462,304,2580,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1490,0,0,0,0,0,0,0,46,61,180,142,252,171,230,324,84,944,22,0,0,0,0,34,0,0,66,76,89,67,170,132,125,163,139,0,0,0,0,14,0,16,0,0,12,13,14,0,0,13,57
24003702209,121,0,0,11,0,0,94,0,49,21,58,111,135,188,278,440,1506,97,0,0,0,0,0,0,74,0,23,0,0,0,0,0,0,0,490,0,0,0,0,0,0,20,0,0,0,32,46,36,72,117,167,782,112,0,0,11,0,0,0,0,0,21,26,57,94,92,161,208,137,9,0,0,0,0,0,0,0,26,0,0,8,5,24,0,65
