fips,label
24001000100,6
24001000200,6
24001000300,6
24001000400,6
24001000500,10
24001000600,6
24001000700,6
24001000800,10
24001001000,10
24001001100,10
24001001200,4
24001001300,6
24001001401,9
24001001402,9
24001001502,6
24001001503,6
24001001600,6
24001001700,10
24001001800,6
24001001900,6
24001002000,6
24001002100,6
24001002200,6
24003701101,4
24003701102,4
24003701200,3
24003701300,3
24003701400,3
24003702100,8
24003702204,4
24003702205,9
24003702206,8
24003702208,8
24003702209,1
24003702300,1
24003702402,3
24003702500,4
24003702601,3
24003702602,2
24003702701,5
24003702702,1
24003706101,4
24003706301,3
24003706302,3
24003706401,4
24003706402,9
24003706500,3
24003706600,3
24003706700,8
24003707001,3
24003707002,3
24003708001,4
24003708004,4
24003730100,4
24003730203,6
24003730204,4
24003730300,9
24003730401,6
24003730402,6
24003730502,4
24003730504,4
24003730505,6
24003730506,6
24003730601,1
24003730603,8
24003730604,3
24003730700,4
24003730800,1
24003730901,3
24003730902,2
24003731002,3
24003731003,3
24003731004,4
24003731102,4
24003731103,4
24003731104,8
24003731105,3
24003731201,3
24003731202,3
24003731203,4
24003731204,8
24003731303,3
24003731306,3
24003731307,8
24003731308,4
24003731309,4
24003731310,8
24003731311,8
24003740102,4
24003740103,4
24003740104,5
24003740105,7
24003740201,4
24003740203,4
24003740303,4
24003740304,4
24003740305,8
24003740400,6
24003740500,8
24003740601,7
24003740602,7
24003740603,5
24003740701,3
24003740702,8
24003740800,4
24003740900,4
24003741000,3
24003750101,6
24003750102,6
24003750201,6
24003750202,9
24003750203,9
24003750300,9
24003750400,3
24003750801,9
24003750803,6
24003750804,4
24003750900,9
24003751000,6
24003751102,6
24003751103,4
24003751200,9
24003751400,3
24003751500,5
24003751600,3
24003751700,1
24003980000,5
24003990000,6
24005400100,9
24005400200,5
24005400400,3
24005400500,3
24005400600,4
24005400701,6
24005400702,5
24005400800,9
24005400900,4
24005401000,4
24005401101,6
24005401102,6
24005401200,9
24005401301,9
24005401302,6
24005401400,2
24005401503,4
24005401504,3
24005401505,9
24005401506,7
24005401507,6
24005402201,3
24005402202,8
24005402302,4
24005402303,9
24005402304,9
24005402305,6
24005402306,6
24005402307,6
24005402403,9
24005402404,6
24005402405,4
24005402406,5
24005402407,8
24005402503,6
24005402504,4
24005402505,6
24005402506,9
24005402509,9
24005402602,4
24005402603,3
24005402604,9
24005403100,9
24005403201,9
24005403202,9
24005403300,9
24005403401,9
24005403402,6
24005403500,4
24005403601,3
24005403602,4
24005403701,4
24005403702,9
