fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19037_001E,B19037_002E,B19037_003E,B19037_004E,B19037_005E,B19037_006E,B19037_007E,B19037_008E,B19037_009E,B19037_010E,B19037_011E,B19037_012E,B19037_013E,B19037_014E,B19037_015E,B19037_016E,B19037_017E,B19037_018E,B19037_019E,B19037_020E,B19037_021E,B19037_022E,B19037_023E,B19037_024E,B19037_025E,B19037_026E,B19037_027E,B19037_028E,B19037_029E,B19037_030E,B19037_031E,B19037_032E,B19037_033E,B19037_034E,B19037_035E,B19037_036E,B19037_037E,B19037_038E,B19037_039E,B19037_040E,B19037_041E,B19037_042E,B19037_043E,B19037_044E,B19037_045E,B19037_046E,B19037_047E,B19037_048E,B19037_049E,B19037_050E,B19037_051E,B19037_052E,B19037_053E,B19037_054E,B19037_055E,B19037_056E,B19037_057E,B19037_058E,B19037_059E,B19037_060E,B19037_061E,B19037_062E,B19037_063E,B19037_064E,B19037_065E,B19037_066E,B19037_067E,B19037_068E,B19037_069E
06001422000,85,63,33,25,7,24,38,0,28,65,49,88,31,93,31,60,720,13,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,0,349,32,11,17,0,0,15,31,0,24,31,0,51,17,46,27,47,258,33,28,5,19,7,9,0,0,4,34,31,29,10,32,4,13,100,20,24,5,6,0,0,4,0,0,0,18,8,0,15,0,0
06001441923,92,49,128,128,189,15,62,92,56,59,288,269,241,173,115,72,2028,54,30,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,1088,0,12,52,70,54,0,62,43,16,0,200,176,180,71,80,72,446,38,0,0,0,12,15,0,12,24,59,88,43,37,83,35,0,440,24,37,76,48,123,0,0,37,16,0,0,36,24,19,0,0
06013339001,33,115,21,46,171,138,213,81,55,152,167,380,89,74,95,65,1895,234,0,0,0,14,27,61,91,0,14,0,7,13,0,7,0,0,1098,10,47,0,8,102,63,72,57,33,120,128,223,43,67,78,47,348,23,26,21,6,19,14,14,0,0,32,11,101,46,0,17,18,215,0,42,0,18,23,0,36,24,8,0,21,43,0,0,0,0
06013345108,7,41,8,0,44,22,49,74,25,185,285,422,331,270,526,934,3223,29,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1168,0,0,0,0,0,0,36,57,11,76,109,131,163,87,233,265,1602,0,41,0,0,0,13,0,0,0,80,145,215,140,141,231,596,424,0,0,8,0,44,9,13,17,14,29,31,76,28,20,62,73
06013349000,101,37,32,40,51,68,25,115,33,59,158,165,188,129,294,324,1819,52,20,14,0,0,0,0,8,10,0,0,0,0,0,0,0,0,542,14,0,0,8,0,15,0,69,20,31,46,26,31,32,136,114,824,14,0,24,17,35,33,0,0,8,28,89,95,97,69,121,194,401,53,23,8,15,16,20,17,36,5,0,23,44,60,28,37,16
06019005410,55,70,46,106,75,154,54,105,52,84,106,157,0,87,0,7,1158,217,8,0,0,0,54,90,0,0,0,0,0,65,0,0,0,0,387,0,54,0,27,0,34,12,65,7,61,57,44,0,26,0,0,310,47,16,8,14,0,30,11,40,9,0,43,31,0,61,0,0,244,0,0,38,65,21,0,31,0,36,23,6,17,0,0,0,7
06037108102,46,5,14,6,10,32,19,28,21,96,114,200,233,167,127,132,1250,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,11,0,0,0,0,0,8,14,6,47,42,52,46,60,0,47,574,24,0,6,0,0,32,5,9,0,36,42,109,118,52,74,67,334,7,0,8,6,10,0,6,5,15,13,30,39,69,55,53,18
06037124700,85,28,90,97,0,88,34,40,95,219,346,305,175,159,70,216,2047,51,0,0,0,40,0,0,0,11,0,0,0,0,0,0,0,0,800,48,0,13,32,0,43,19,29,11,94,106,206,43,41,44,71,858,37,28,44,15,0,0,0,0,66,107,165,52,86,100,13,145,338,0,0,33,10,0,45,15,0,18,18,75,47,46,18,13,0
06037137502,51,18,95,15,36,67,122,78,59,102,135,221,220,81,183,202,1685,33,0,0,8,0,0,0,0,25,0,0,0,0,0,0,0,0,427,12,4,0,0,0,0,8,24,0,20,51,35,83,28,91,71,723,0,0,9,0,10,11,63,29,20,74,50,113,117,29,82,116,502,39,14,78,15,26,56,51,0,39,8,34,73,20,24,10,15
06037139401,60,182,13,136,0,19,40,9,54,100,154,143,167,76,14,20,1187,21,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,616,8,48,0,82,0,19,24,9,25,41,104,50,130,76,0,0,227,0,10,0,9,0,0,16,0,21,18,28,62,37,0,14,12,323,52,115,13,45,0,0,0,0,8,41,10,31,0,0,0,8
